LATITUDE,LONGITUDE,PARAMETERNAME,YEAR,ARITHMETICMEAN,90THPERCENTILE,50THPERCENTILE,10THPERCENTILE,ADDRESS,STATENAME,COUNTYNAME,CITYNAME
40.6175,-75.333056,Cadmium (TSP) STP,1983,0.001336,0.0022,0.0012,0.0008,SHIMERSVILLE ROAD,Pennsylvania,Northampton,Bethlehem
41.761489,-72.674259,Cobalt (TSP) STP,1983,0.000885,0.0018,0.0007,0.0003,"HARTFORD LIBRARY, MAIN STREET",Connecticut,Hartford,Hartford
42.202262,-83.15298,Suspended particulate (TSP),1985,50.4,84.0,45.0,23.0,266 MAPLE,Michigan,Wayne,Wyandotte
29.415511,-98.485017,Lead (TSP) STP,1992,0.023833,0.04,0.02,0.02,900 BLK E DURANGO,Texas,Bexar,San Antonio
30.525367,-87.20355,Sample Volume,2000,24.033043,24.1,24.0,24.0,ELLYSON INDUSTRIAL PARK-COPTER ROAD,Florida,Escambia,Ferry Pass
39.885553,-83.071082,Suspended particulate (TSP),1982,49.0,77.0,42.0,22.0,584 DENNIS,Ohio,Franklin,Grove City
42.894451,-85.852734,Sample Volume,1999,23.982759,24.0,24.0,24.0,6981 28TH AVE (JENISON),Michigan,Ottawa,Jenison
33.82376,-118.18921,o-Xylene,1994,5.52,10.4,4.8,2.4,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach
42.052822,-83.281874,Suspended particulate (TSP),1989,51.2,86.0,48.0,27.0,SITE #1 NE CORNER ARMSTRONG AT READY RD,Michigan,Monroe,South Rockwood
32.531667,-96.991389,"1,3,5-Trimethylbenzene",1994,0.7125,0.99,0.63,0.27,440 TAYMAN DR. WATER TREATMENT PLANT,Texas,Ellis,Midlothian
34.82056,-89.98778,Suspended particulate (TSP),1985,43.05,67.0,40.0,26.0,5 EAST SOUTH ST. (HERNANDO),Mississippi,DeSoto,Hernando
29.98688,-93.95434,Propylene,1991,36.633333,53.5,50.1,6.3,GROVES HIGH SCHOOL 1225 PORT NECHES,Texas,Jefferson,Port Neches
35.184167,-89.930278,Ambient Min Temperature,1999,11.779321,22.3,11.9,0.3,JACKSON PARK SCHOOL,Tennessee,Shelby,Memphis
33.984969,-81.019667,Suspended particulate (TSP),2000,48.571429,85.0,40.0,22.0,ROSEWOOD DRIVE [Enright Athletic Center],South Carolina,Richland,Columbia
39.074722,-95.660537,Molybdenum (TSP) STP,1981,0.000103,0.0,0.0,0.0,"QUINCY SCHOOL, 1500 N.QUINCY",Kansas,Shawnee,Topeka
32.83388,-109.718611,Zinc (TSP) STP,1981,0.09566,0.15,0.08,0.05,"523 10TH AVE, SAFFORD",Arizona,Graham,Safford
45.521507,-122.670651,Ethylbenzene,1999,1.581481,3.4,1.0,0.4,CENTRAL FIRE STATION/55 SW ASH,Oregon,Multnomah,Portland
39.571669,-97.657261,Suspended particulate (TSP),1983,92.5,146.0,88.0,33.0,"135 EAST 6TH ,CONCORDIA CITY HALL",Kansas,Cloud,Concordia
21.392833,-157.969126,Ambient Min Temperature,1999,22.3,22.3,22.3,22.3,"860 4TH ST, PEARL CITY",Hawaii,Honolulu,Pearl City
34.172824,-109.230362,Suspended particulate (TSP),1983,11.017341,29.0,7.0,1.0,COYOTE HILLS-6 MI NE OF SPRINGERVILLE,Arizona,Apache,Springerville
34.860387,-82.396321,Manganese (TSP) STP,1985,0.014333,0.017,0.016,0.01,NORTH MAIN STREET [EQC Office],South Carolina,Greenville,Greenville
37.114221,-88.869504,Suspended particulate (TSP),1980,61.981481,104.0,61.0,27.0,HELMS RD KEVIL,Kentucky,McCracken,Not in a city
37.765946,-122.399044,Copper (TSP) STP,1998,0.022077,0.04,0.019,0.008,10 ARKANSAS ST.,California,San Francisco,San Francisco
37.971727,-87.567236,Barium (TSP) STP,1981,0.0,0.0,0.0,0.0,1 NW Martin Luther King Jr. Blvd.- Evansville CIVIC CENTER COURTS BLDG,Indiana,Vanderburgh,Evansville
39.074722,-95.660537,Cadmium (TSP) STP,1997,0.000017,0.0,0.0,0.0,"QUINCY SCHOOL, 1500 N.QUINCY",Kansas,Shawnee,Topeka
44.51098,-70.221318,PM10 - LC,1998,12.302521,24.0,10.0,4.0,BOMASTER PROPERTY-JAY HILL,Maine,Franklin,
33.362014,-79.294251,Nickel (TSP) STP,1997,0.0,0.0,0.0,0.0,1369 DOCK STREET [Georgetown],South Carolina,Georgetown,Georgetown
34.786755,-87.782531,Suspended particulate (TSP),1980,36.055556,49.0,38.0,21.0,4.8 MI NE OF COLBERT STEAM PLANT,Alabama,Lauderdale,Not in a city
43.609471,-84.216377,Nickel (TSP) STP,1989,0.000098,0.0,0.0,0.0,CONSUMERS POWER 1100 WASHINGTON,Michigan,Midland,Midland
35.49158,-120.66804,Sample Flow Rate- CV,1999,0.153333,0.2,0.1,0.0,"6005 LEWIS AVENUE, ATASCADERO, CA 93422",California,San Luis Obispo,Atascadero
43.591416,-84.209431,Cadmium (TSP) STP,1993,0.000402,0.0007,0.0003,0.0001,3900 S. SAGINAW (DOW),Michigan,Midland,Midland
40.7997,-73.93432,Suspended particulate (TSP),1984,65.464286,98.0,61.0,41.0,"SCHOOL IS 45, 2351 1ST AVENUE",New York,New York,New York
29.802707,-95.125495,Styrene,1996,0.967241,2.5,0.3,0.0,1405 Sheldon Road,Texas,Harris,Channelview
41.639306,-87.493609,Manganese (TSP) STP,1995,0.093667,0.172,0.065,0.027,1300 141 ST STREET,Indiana,Lake,Hammond
40.688889,-75.215556,Suspended particulate (TSP),1985,46.555556,70.0,44.0,27.0,650 FERRY ST,Pennsylvania,Northampton,Easton
44.77553,-93.06299,Ethylbenzene,1992,0.753208,1.36,0.64,0.16,2142 120TH STREET EAST,Minnesota,Dakota,Inver Grove Heights (RR name Inver Grove)
41.639306,-87.493609,"1,3,5-Trimethylbenzene",1994,1.267857,2.7,0.8,0.0,1300 141 ST STREET,Indiana,Lake,Hammond
36.98332,-121.98822,Average Ambient Temperature,2000,12.06338,15.7,12.0,8.0,960 Bostwick Lane,California,Santa Cruz,Live Oak
29.826598,-85.301585,Suspended particulate (TSP),1982,41.106383,72.0,37.0,20.0,CITY HALL,Florida,Gulf,Port Saint Joe
36.84987,-76.28633,Manganese (TSP) STP,1985,0.01879,0.0352,0.0156,0.0054,NORFOLK FIRE DEPARTMENT,Virginia,Norfolk City,Norfolk
39.104765,-84.513526,Lead (TSP) STP,1982,0.267628,0.4796,0.24,0.1301,800 VINE ST.,Ohio,Hamilton,Cincinnati
38.419805,-82.447376,Lead (TSP) STP,1986,0.077895,0.14,0.06,0.04,COUNTY COURTHOUSE 4TH AVE,West Virginia,Cabell,Huntington
42.709535,-71.145891,PM10 - LC,1998,15.407407,28.0,14.0,6.0,"HIGH STREET, STORROW PARK",Massachusetts,Essex,Lawrence
41.430876,-82.117093,Arsenic (TSP) STP,1983,0.002177,0.0055,0.0001,0.0001,2270 EAST 42ND STREET  SOUTHVIEW,Ohio,Lorain,Lorain
37.949924,-122.357193,Lead (TSP) STP,1997,0.010476,0.01,0.01,0.01,"1144 13TH ST., RICHMOND",California,Contra Costa,Richmond
36.099304,-80.254772,Suspended particulate (TSP),1989,42.711864,66.0,40.0,23.0,SIXTH & BROAD ST FRIENDS CHURCH,North Carolina,Forsyth,Winston-Salem
41.171944,-112.031667,Lead (TSP) STP,1982,0.474054,0.837,0.437,0.216,"5320 S. 2100 W., ROY UTAH",Utah,Weber,Roy
44.401161,-73.387353,Barium (TSP) STP,1992,0.0094,0.0136,0.0136,0.0052,BOAT LAUNCH AREA WILLSBORO BAY,New York,Essex,Not in a city
38.667126,-121.251338,Tetrachloroethylene,1990,0.184286,0.34,0.16,0.08,"7400 SUNRISE BLVD., CITRUS HEIGHTS",California,Sacramento,Citrus Heights
41.771071,-88.152534,Sample Flow Rate- CV,2000,0.296522,0.8,0.1,0.0,400 S. EAGLE ST.,Illinois,DuPage,Naperville
31.763076,-106.486712,Bromomethane,1998,0.0,0.0,0.0,0.0,500 NORTH CAMPBELL ST.,Texas,El Paso,El Paso
37.949924,-122.357193,Toluene,1996,15.241935,22.4,10.5,4.9,"1144 13TH ST., RICHMOND",California,Contra Costa,Richmond
32.378696,-94.711813,Chloroform,1997,0.0,0.0,0.0,0.0,Gregg Co Airport near Longview,Texas,Gregg,Longview
31.568222,-91.45845,Ambient Max Temperature,1999,26.316327,34.9,27.6,17.3,HIGHWAY 84 & HIGHWAY 65,Louisiana,Concordia,Vidalia
40.756769,-73.934026,Lead (TSP) STP,1988,0.04925,0.071,0.0524,0.0315,"PS 112, 37TH AVENUE LONG ISLAND CITY",New York,Queens,New York
35.915278,-82.073333,Average Ambient Pressure,1999,696.583333,702.0,699.0,690.0,CITY HALL SUMMIT ST,North Carolina,Mitchell,Spruce Pine
33.92086,-116.85841,o-Xylene,2000,0.797826,1.1,0.8,0.5,"200 S. HATHAWAY ST., BANNING CA",California,Riverside,Banning
35.184167,-89.930278,Average Ambient Temperature,1999,17.610736,27.8,19.0,6.9,JACKSON PARK SCHOOL,Tennessee,Shelby,Memphis
40.343693,-83.761045,Suspended particulate (TSP),1986,41.721311,65.0,37.0,23.0,1229 S. MAIN ST.,Ohio,Logan,Bellefontaine
33.56031,-112.06619,Nitrate (TSP) STP,1980,1.653654,4.74,1.02,0.0,"601 E BUTLER DR & N 6TH ST,PHOENIX",Arizona,Maricopa,Phoenix
42.10065,-72.5912,PM10 - LC,1999,31.372549,51.0,29.0,18.0,EAST COLUMBUS AVENUE,Massachusetts,Hampden,Springfield
42.758145,-71.465621,Suspended particulate (TSP),1985,50.0,72.0,49.0,27.0, MAIN STREET,New Hampshire,Hillsborough,Nashua
40.756769,-73.934026,Cobalt (TSP) STP,1988,0.002592,0.0044,0.0026,0.0011,"PS 112, 37TH AVENUE LONG ISLAND CITY",New York,Queens,New York
39.546649,-107.325338,Suspended particulate (TSP),1986,75.809524,174.0,64.0,24.0,806 COOPER AVE.,Colorado,Garfield,Glenwood Springs
36.075833,-79.794444,Chromium (TSP) STP,1983,0.006675,0.006,0.0059,0.0059,EDGEWORTH & BELLEMEADE STS,North Carolina,Guilford,Greensboro
39.310833,-76.474444,m/p Xylene,1995,8.336604,19.04,4.48,2.0,600 Dorsey Avenue,Maryland,Baltimore,Essex
44.03413,-105.321772,Suspended particulate (TSP),1997,42.066667,77.0,42.0,17.0,Cordero CRC-E10A,Wyoming,Campbell,
