LATITUDE,LONGITUDE,PARAMETERNAME,YEAR,ARITHMETICMEAN,90THPERCENTILE,50THPERCENTILE,10THPERCENTILE,ADDRESS,STATENAME,COUNTYNAME,CITYNAME
36.85555,-76.30135,Ambient Max Temperature,2000,23.086325,33.8,24.4,10.7,"181-A1, NOAA LOT, 2ND ST & WOODIS AVE.",Virginia,Norfolk City,Norfolk
33.48378,-112.14256,Manganese (TSP) STP,1985,0.06,0.09,0.06,0.02,3847 W EARLL DR-WEST PHOENIX STATION,Arizona,Maricopa,Phoenix
35.968734,-83.911379,Beryllium (TSP) STP,1983,0.116786,0.33,0.0,0.0,800 TOWNVIEW PLACE/GREEN ELEMENTARY SCH.,Tennessee,Knox,Knoxville
37.979209,-87.600017,Suspended particulate (TSP),1985,74.704918,124.0,67.0,32.0,2300 W ILLINOIS STREET,Indiana,Vanderburgh,Evansville
30.221255,-91.315418,m/p Xylene,1998,1.94507,3.4,1.5,1.0,65180 Belleview Road,Louisiana,Iberville,
41.46107,-74.36343,Suspended particulate (TSP),1998,41.275862,83.0,34.0,15.0,"95 BALLARD ROAD, TOWN OF WALLKILL, Ball Corp",New York,Orange,Scotchtown
32.535293,-93.747041,Benzene,2000,3.598824,6.54,2.94,1.26,1425 Airport Drive,Louisiana,Bossier,Shreveport
29.98688,-93.95434,n-Octane,1995,1.133333,2.1,0.7,0.6,GROVES HIGH SCHOOL 1225 PORT NECHES,Texas,Jefferson,Port Neches
44.966077,-93.205501,Lead (TSP) STP,1984,0.185,0.32,0.15,0.08,826 BERRY STREET,Minnesota,Ramsey,St. Paul
40.697538,-89.586486,Suspended particulate (TSP),1981,74.195652,107.0,68.0,47.0,CITY PATROL HOUSE 610 N E JEFFERSON,Illinois,Peoria,Peoria
36.84987,-76.28633,Arsenic (TSP) STP,1984,0.000533,0.0,0.0,0.0,NORFOLK FIRE DEPARTMENT,Virginia,Norfolk City,Norfolk
0.0,0.0,Styrene,1995,0.0,0.0,0.0,0.0,60 NORMAND STREET,Vermont,Chittenden,Winooski
33.485556,-86.915,Cobalt (TSP) STP,1988,0.000357,0.0007,0.0004,0.0,"FAIRFIELD, PFD, 5229 COURT B",Alabama,Jefferson,Fairfield
35.165367,-90.035647,Zinc (TSP) STP,1982,0.544224,0.7654,0.5184,0.354,FIRE STATION NORTH THOMAS STREET,Tennessee,Shelby,Memphis
38.694438,-90.153954,Chromium (TSP) STP,1987,0.018603,0.032,0.013,0.005,15TH & MADISON,Illinois,Madison,Granite City
34.276316,-118.683685,Chromium (TSP) STP,1986,0.003258,0.005,0.003,0.002,"5400 COCHRAN STREET, SIMI VALLEY, CA  93063",California,Ventura,Simi Valley
36.483824,-117.867858,Suspended particulate (TSP),1987,83.25,240.0,46.0,15.0,"P.O., RAILROAD AVE., KEELER",California,Inyo,Keeler
30.354944,-97.761803,Vanadium (TSP) STP,1981,0.001519,0.005,0.001,0.0,3824 North Hills Drive,Texas,Travis,Austin
